City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Date
459,Brodnica,PL,53.2597,19.3965,37.18,97,100,14.79,overcast clouds,2022-01-27 01:59:15
460,Kysyl-Syr,RU,63.8986,122.7617,-15.48,100,94,2.84,overcast clouds,2022-01-27 01:59:16
461,Galveston,US,29.3669,-94.9669,51.91,79,3,9.24,clear sky,2022-01-27 01:59:06
462,Birjand,IR,32.8663,59.2211,36.07,44,0,4.61,clear sky,2022-01-27 01:59:16
463,Altay,CN,47.8667,88.1167,5.77,79,100,2.59,overcast clouds,2022-01-27 02:00:17
464,Hoquiam,US,46.9809,-123.8893,48.99,81,47,8.01,scattered clouds,2022-01-27 02:00:18
465,Orsha,BY,54.5153,30.4053,9.79,97,57,9.08,broken clouds,2022-01-27 02:00:19
466,Zherdevka,RU,51.8486,41.4606,-6.36,100,100,3.65,overcast clouds,2022-01-27 02:00:19
467,Kuytun,RU,54.3419,101.5036,-9.42,100,100,3.24,overcast clouds,2022-01-27 02:00:20
468,Glenwood Springs,US,39.5505,-107.3248,27.36,57,40,8.05,scattered clouds,2022-01-27 02:00:20
469,Varda,GR,38.0333,21.3667,42.13,56,1,3.44,clear sky,2022-01-27 02:00:21
470,Gaspe,CA,48.8334,-64.4819,-3.59,91,27,7.27,scattered clouds,2022-01-27 02:00:21
471,Sinnamary,GF,5.3833,-52.95,75.29,88,23,7.14,few clouds,2022-01-27 02:00:22
472,Vaitape,PF,-16.5167,-151.75,81.09,77,24,17.78,light rain,2022-01-27 02:00:22
473,Hirara,JP,24.8,125.2833,70.59,68,59,9.55,broken clouds,2022-01-27 02:00:23
474,Kasongo-Lunda,CD,-6.4667,16.8167,67.53,97,100,0.72,overcast clouds,2022-01-27 02:00:23
475,Hovd,MN,48.0056,91.6419,-10.98,79,95,1.1,overcast clouds,2022-01-27 02:00:24
476,Angoche,MZ,-16.2325,39.9086,74.32,92,100,8.21,overcast clouds,2022-01-27 02:00:24
477,Saint-Francois,FR,46.4154,3.9054,26.67,93,100,0.0,mist,2022-01-27 02:00:25
478,Ambon,ID,-3.6954,128.1814,91.54,58,20,5.75,few clouds,2022-01-27 02:00:25
479,Nemuro,JP,43.3236,145.575,27.03,93,100,9.91,light snow,2022-01-27 02:00:26
480,Dothan,US,31.2232,-85.3905,49.37,47,36,9.51,scattered clouds,2022-01-27 02:00:26
481,Paamiut,GL,61.994,-49.6678,9.93,73,100,11.92,overcast clouds,2022-01-27 02:00:27
482,Corinto,GR,37.9407,22.9573,39.61,71,2,2.59,clear sky,2022-01-27 02:00:27
483,Changping,CN,40.2186,116.2197,28.04,45,4,6.82,clear sky,2022-01-27 02:00:28
484,Homer,US,59.6425,-151.5483,28.78,92,100,9.71,overcast clouds,2022-01-27 02:00:17
485,Nadym,RU,65.5333,72.5167,1.15,96,100,10.07,overcast clouds,2022-01-27 02:00:28
486,Bibiani,GH,6.4635,-2.3194,66.51,79,0,0.85,clear sky,2022-01-27 02:00:29
487,Havelock,US,34.8791,-76.9013,33.93,70,31,4.0,scattered clouds,2022-01-27 01:59:43
488,Bonnyville,CA,54.2668,-110.735,26.58,82,99,12.88,overcast clouds,2022-01-27 02:00:29
489,Ancud,CL,-41.8697,-73.8203,58.42,78,0,1.81,clear sky,2022-01-27 02:00:30
490,Kavieng,PG,-2.5744,150.7967,84.0,75,91,8.93,light rain,2022-01-27 02:00:31
491,Merritt Island,US,28.5392,-80.672,66.22,90,100,6.91,light rain,2022-01-27 02:00:03
492,Shahrud,IR,36.4182,54.9763,35.74,45,76,2.19,broken clouds,2022-01-27 02:00:31
493,Lashio,MM,22.9333,97.75,56.68,89,47,0.81,scattered clouds,2022-01-27 02:00:32
494,Sur,OM,22.5667,59.5289,66.15,52,1,3.89,clear sky,2022-01-27 02:00:32
495,Ozu,JP,33.5,132.55,52.18,53,97,6.4,overcast clouds,2022-01-27 02:00:33
496,Pervomayskiy,RU,53.2485,40.2871,-3.93,100,100,3.65,overcast clouds,2022-01-27 02:00:33
497,Imeni Babushkina,RU,59.7573,43.1285,-5.85,100,100,3.11,overcast clouds,2022-01-27 02:00:34
498,Nioaque,BR,-21.1353,-55.83,81.36,56,98,3.33,overcast clouds,2022-01-27 02:00:34
499,Baruun-Urt,MN,46.6806,113.2792,-4.34,86,8,6.4,clear sky,2022-01-27 02:00:35
500,Mahajanga,MG,-15.7167,46.3167,73.42,100,20,3.44,few clouds,2022-01-27 02:00:35
501,San Quintin,MX,30.4833,-115.95,58.1,71,99,8.52,overcast clouds,2022-01-27 02:00:36
502,Buenos Aires,AR,-34.6132,-58.3772,67.73,66,0,18.41,clear sky,2022-01-27 01:55:37
503,Kuryk,KZ,43.2,51.65,37.42,66,96,12.53,overcast clouds,2022-01-27 02:00:36
504,Pavino,RU,59.1139,46.1414,-7.2,100,99,2.28,overcast clouds,2022-01-27 02:00:36
505,Iqaluit,CA,63.7506,-68.5145,-22.27,69,20,2.3,few clouds,2022-01-27 01:59:53
506,Bima,ID,-8.4667,118.7167,84.11,78,100,1.1,overcast clouds,2022-01-27 02:01:37
507,Hualmay,PE,-11.0964,-77.6139,71.53,81,95,9.13,overcast clouds,2022-01-27 02:01:38
508,General Roca,AR,-39.0333,-67.5833,76.17,32,0,16.2,light rain,2022-01-27 02:01:38
509,Rawson,AR,-43.3002,-65.1023,61.0,60,0,11.16,clear sky,2022-01-27 02:01:38
510,Nicoya,CR,10.1483,-85.452,75.92,65,90,8.84,overcast clouds,2022-01-27 02:01:39
511,Olafsvik,IS,64.8945,-23.7142,33.85,60,100,6.17,overcast clouds,2022-01-27 02:01:39
512,Pakokku,MM,21.3333,95.1,65.73,73,1,1.79,clear sky,2022-01-27 02:01:40
513,Arys,KZ,42.4252,68.795,26.82,43,0,6.87,clear sky,2022-01-27 02:01:40
514,Rovira,CO,4.2392,-75.24,69.62,90,100,5.08,overcast clouds,2022-01-27 02:01:40
515,Paka,MY,4.6374,103.4368,80.89,71,66,5.95,broken clouds,2022-01-27 02:01:41
516,Puerto Del Rosario,ES,28.5004,-13.8627,58.75,77,47,8.05,scattered clouds,2022-01-27 02:01:41
517,Galle,LK,6.0367,80.217,73.87,82,100,4.23,overcast clouds,2022-01-27 01:57:35
518,Axim,GH,4.8699,-2.2405,78.33,87,0,2.48,clear sky,2022-01-27 02:01:42
519,Verkhovazhye,RU,60.7472,42.0465,1.26,100,100,3.85,overcast clouds,2022-01-27 02:01:42
520,Monte Alegre,BR,-2.0078,-54.0692,77.97,75,100,3.09,overcast clouds,2022-01-27 02:01:43
521,Kalmunai,LK,7.4167,81.8167,74.1,76,86,4.7,overcast clouds,2022-01-27 02:01:43
522,Belomorsk,RU,64.5232,34.7668,21.07,93,100,8.81,overcast clouds,2022-01-27 02:01:43
523,Egvekinot,RU,66.3167,-179.1667,-13.09,88,100,1.86,overcast clouds,2022-01-27 02:01:44
524,The Valley,AI,18.217,-63.0578,77.09,74,49,14.7,scattered clouds,2022-01-27 02:01:44
525,Shimoda,JP,34.6667,138.95,50.11,71,100,5.19,overcast clouds,2022-01-27 02:01:45
526,Uarini,BR,-2.99,-65.1083,73.35,98,100,1.12,overcast clouds,2022-01-27 02:01:45
527,Westport,US,41.1415,-73.3579,23.99,50,11,3.0,few clouds,2022-01-27 02:01:02
528,Billings,US,45.7833,-108.5007,36.52,54,40,8.05,scattered clouds,2022-01-27 02:01:44
529,Havoysund,NO,70.9963,24.6622,29.28,73,100,6.49,light snow,2022-01-27 02:01:46
530,Williams Lake,CA,52.1415,-122.1445,10.22,89,88,0.4,overcast clouds,2022-01-27 02:01:46
531,Contamana,PE,-7.3333,-75.0167,73.85,80,99,1.66,overcast clouds,2022-01-27 02:01:46
532,Pangnirtung,CA,66.1451,-65.7125,-23.94,96,100,4.72,overcast clouds,2022-01-27 02:01:47
533,Nisia Floresta,BR,-6.0911,-35.2086,77.22,84,68,6.98,light rain,2022-01-27 02:01:47
534,Thung Song,TH,8.1645,99.6804,85.42,72,9,6.17,clear sky,2022-01-27 02:01:48
535,Lorient,FR,47.8333,-3.25,37.89,93,0,1.99,mist,2022-01-27 02:01:48
536,Xai-Xai,MZ,-25.0519,33.6442,74.52,95,92,5.23,overcast clouds,2022-01-27 02:01:49
537,Ishigaki,JP,24.3448,124.1572,71.04,73,98,10.18,overcast clouds,2022-01-27 02:01:49
538,Jalu,LY,29.0331,21.5482,49.01,65,62,5.82,broken clouds,2022-01-27 02:01:49
539,Channel-Port Aux Basques,CA,47.5702,-59.1367,21.43,81,99,13.0,overcast clouds,2022-01-27 02:01:50
540,Aliaga,PH,15.5167,120.8667,84.33,65,46,3.91,scattered clouds,2022-01-27 02:01:50
541,Ust-Uda,RU,54.1742,103.0304,-15.16,100,99,1.79,overcast clouds,2022-01-27 02:01:51
542,Praia,CV,14.9215,-23.5087,72.14,78,75,23.02,broken clouds,2022-01-27 01:56:59
543,Saint-Joseph,RE,-21.3667,55.6167,70.18,67,38,6.22,scattered clouds,2022-01-27 02:01:51
544,Evensk,RU,61.95,159.2333,7.92,79,100,13.98,overcast clouds,2022-01-27 02:01:52
545,Kamaishi,JP,39.2667,141.8833,39.24,48,4,12.3,clear sky,2022-01-27 02:01:52
546,Prabumulih,ID,-3.45,104.25,78.6,82,100,3.78,overcast clouds,2022-01-27 02:01:53
547,Lata,PT,40.1629,-8.3327,46.92,77,66,5.03,broken clouds,2022-01-27 02:01:53
548,Humaita,BR,-7.5061,-63.0208,73.56,92,100,2.44,light rain,2022-01-27 02:01:53
549,Coahuayana,MX,18.7333,-103.6833,80.08,75,100,1.1,overcast clouds,2022-01-27 02:01:54
550,Cayenne,GF,4.9333,-52.3333,73.44,100,75,2.3,mist,2022-01-27 02:01:54
551,Banda Aceh,ID,5.5577,95.3222,81.37,74,43,3.15,scattered clouds,2022-01-27 02:01:55
552,Husavik,IS,66.0449,-17.3389,23.11,74,100,8.12,overcast clouds,2022-01-27 02:01:55
553,Kumano,JP,34.3442,132.5894,49.89,54,92,3.47,overcast clouds,2022-01-27 02:01:56
554,Dawlatabad,AF,36.4141,64.9053,37.38,46,0,2.44,clear sky,2022-01-27 02:01:56
555,Alingsas,SE,57.9303,12.5335,41.54,96,99,12.95,light rain,2022-01-27 02:02:57
556,Chernogorsk,RU,53.8236,91.2842,-2.63,84,100,2.24,mist,2022-01-27 02:02:57
557,Charagua,BO,-19.8,-63.2167,82.11,46,97,9.57,overcast clouds,2022-01-27 02:02:57
558,Seoul,KR,37.5683,126.9778,33.19,51,20,4.61,few clouds,2022-01-27 01:59:10
559,Griffith,US,41.5284,-87.4237,8.89,72,0,1.01,clear sky,2022-01-27 02:02:58
560,Marrakesh,MA,31.6315,-8.0083,48.27,87,40,2.3,scattered clouds,2022-01-27 02:02:59
561,Kupang,ID,-10.1667,123.5833,88.38,74,40,9.22,scattered clouds,2022-01-27 02:02:59
562,Rio Grande,BR,-32.035,-52.0986,77.11,93,100,15.75,overcast clouds,2022-01-27 02:02:59
563,Carman,CA,49.4992,-98.0016,26.92,93,99,12.82,light snow,2022-01-27 02:01:12
564,Bilma,NE,18.6853,12.9164,51.89,37,11,9.28,few clouds,2022-01-27 02:03:00
565,Tabou,CI,4.423,-7.3528,78.6,82,6,6.06,clear sky,2022-01-27 02:03:00
566,Chauk,MM,20.8833,94.8167,66.88,69,21,2.95,few clouds,2022-01-27 02:03:01
567,Irbit,RU,57.6705,63.071,11.28,89,19,10.94,few clouds,2022-01-27 02:03:01
568,Takaka,NZ,-40.85,172.8,68.56,56,18,11.65,few clouds,2022-01-27 02:03:02
569,Bilibino,RU,68.0546,166.4372,-30.55,95,20,3.22,few clouds,2022-01-27 02:03:02
570,Hot Springs,US,34.5037,-93.0552,35.4,44,54,4.0,broken clouds,2022-01-27 02:00:16
571,Santa Isabel,BR,-23.3156,-46.2214,74.98,91,27,3.33,scattered clouds,2022-01-27 02:03:03
572,Knysna,ZA,-34.0363,23.0471,64.78,96,81,3.89,broken clouds,2022-01-27 02:03:03
573,Korhogo,CI,9.45,-5.6333,68.32,19,1,1.45,clear sky,2022-01-27 02:03:04
574,Bashtanka,UA,47.4072,32.4387,23.0,88,97,6.22,overcast clouds,2022-01-27 02:03:04
575,Concepcion Del Uruguay,AR,-32.4825,-58.2372,71.98,93,94,5.01,overcast clouds,2022-01-27 02:03:05
576,Itoman,JP,26.1247,127.6694,73.78,64,75,11.5,broken clouds,2022-01-27 02:03:05
577,Nordhorn,DE,52.4333,7.0833,40.96,79,100,19.33,overcast clouds,2022-01-27 02:03:05
578,Asosa,ET,10.0667,34.5333,63.84,42,99,6.6,overcast clouds,2022-01-27 02:03:06
579,Tarauaca,BR,-8.1614,-70.7656,72.52,91,95,2.57,overcast clouds,2022-01-27 02:03:06
580,Santa Rosa,PH,14.3122,121.1114,87.1,73,43,12.75,scattered clouds,2022-01-27 02:03:07
581,Galdar,ES,28.147,-15.6502,59.5,76,29,11.54,scattered clouds,2022-01-27 02:03:07
582,Little Rock,US,34.7465,-92.2896,32.76,49,40,5.01,scattered clouds,2022-01-27 02:02:17
583,Koslan,RU,63.4564,48.8989,1.06,100,99,3.6,overcast clouds,2022-01-27 02:03:08
584,Berezovyy,RU,51.6667,135.7,6.28,89,98,2.06,overcast clouds,2022-01-27 02:03:08
585,Madang,PG,-5.2246,145.7966,86.74,65,100,2.98,light rain,2022-01-27 02:03:08
586,Loreto,MX,22.2667,-101.9667,56.95,33,100,5.1,overcast clouds,2022-01-27 02:03:09
587,Talara,PE,-4.5772,-81.2719,71.78,80,100,10.0,overcast clouds,2022-01-27 02:03:09
588,Terrace Bay,CA,48.7834,-87.1,22.57,92,100,28.88,snow,2022-01-27 02:03:10
589,Velikiy Ustyug,RU,60.7644,46.3106,-10.37,100,99,2.84,overcast clouds,2022-01-27 02:03:10
590,Nkoteng,CM,4.5167,12.0333,64.29,37,100,1.9,overcast clouds,2022-01-27 02:03:10
591,Vrchlabi,CZ,50.627,15.6094,33.44,92,100,6.33,overcast clouds,2022-01-27 02:03:11
592,Massaguet,TD,12.4755,15.4365,64.56,21,5,16.6,clear sky,2022-01-27 02:03:11
593,Black Forest,US,39.0131,-104.7008,28.29,45,0,1.01,clear sky,2022-01-27 02:03:12
594,Kyzyl-Suu,KG,42.3414,78.0056,11.86,48,12,11.25,few clouds,2022-01-27 02:03:12
595,Labuhan,ID,-6.8844,112.2051,82.42,76,100,10.33,overcast clouds,2022-01-27 02:03:12
596,Pula,HR,44.8683,13.8481,36.46,93,100,3.44,overcast clouds,2022-01-27 02:00:54
597,Dwarka,IN,22.2394,68.9678,64.2,43,0,9.66,clear sky,2022-01-27 02:03:13
598,Ahuimanu,US,21.4447,-157.8378,80.31,59,20,5.01,few clouds,2022-01-27 02:03:13
599,Srivardhan,IN,18.0333,73.0167,66.18,59,3,5.53,clear sky,2022-01-27 02:04:14
600,Yining,CN,29.0361,114.5636,42.67,95,100,3.4,overcast clouds,2022-01-27 02:04:14
601,Koumac,NC,-20.5667,164.2833,83.07,70,57,11.74,broken clouds,2022-01-27 02:04:00
602,Salinas,US,36.6777,-121.6555,59.81,74,0,8.05,clear sky,2022-01-27 02:04:15
603,Mongar,BT,27.2747,91.2396,37.65,79,9,5.44,clear sky,2022-01-27 02:04:15
604,Nalut,LY,30.3333,10.85,38.19,54,94,8.93,overcast clouds,2022-01-27 02:04:15
605,Samandag,TR,36.0842,35.9771,39.72,92,100,5.91,overcast clouds,2022-01-27 02:04:16
606,Dallas,US,32.7668,-96.7836,48.15,34,100,4.61,overcast clouds,2022-01-27 02:02:13
607,Ipora,BR,-16.4419,-51.1178,68.63,92,10,0.85,clear sky,2022-01-27 02:02:41
608,Khani,GE,41.9563,42.9566,29.77,98,100,0.65,light snow,2022-01-27 02:04:16
609,Petropavlovsk-Kamchatskiy,RU,53.0452,158.6483,18.19,38,75,8.95,broken clouds,2022-01-27 02:04:17
610,Chirongui,YT,-12.9319,45.1483,82.33,70,68,10.22,light rain,2022-01-27 02:04:17
611,Dodge City,US,37.7528,-100.0171,24.26,86,0,8.01,clear sky,2022-01-27 02:04:18
612,Karabuk,TR,41.2049,32.6277,18.0,96,92,2.66,light snow,2022-01-27 02:04:18
613,Marzuq,YE,14.4,46.4667,56.35,66,1,2.3,clear sky,2022-01-27 02:04:19
614,Tooele,US,40.5308,-112.2983,32.97,86,0,0.0,clear sky,2022-01-27 02:04:19
615,Maumere,ID,-8.6199,122.2111,83.95,75,88,10.63,overcast clouds,2022-01-27 02:04:19
616,Manadhoo,MV,5.7667,73.3833,78.73,63,100,10.76,overcast clouds,2022-01-27 02:04:20
617,Ejutla De Crespo,MX,16.5667,-96.7333,68.95,69,14,3.49,few clouds,2022-01-27 02:04:20
618,Acapulco,MX,16.8634,-99.8901,77.0,79,0,3.4,clear sky,2022-01-27 02:00:23
619,Malakal,SS,9.5334,31.6605,73.56,19,13,12.1,few clouds,2022-01-27 02:00:12
620,Hajnowka,PL,52.7433,23.5812,35.02,87,100,4.0,overcast clouds,2022-01-27 02:04:21
621,Taoudenni,ML,22.6783,-3.9836,63.9,20,6,11.43,clear sky,2022-01-27 02:04:21
622,Hearst,CA,49.6835,-83.6665,14.04,78,100,18.32,overcast clouds,2022-01-27 02:03:02
623,Clearlake,US,38.9582,-122.6264,52.27,60,0,2.44,clear sky,2022-01-27 02:04:22
624,Nishihara,JP,26.1842,127.7558,73.06,64,75,11.5,broken clouds,2022-01-27 02:04:22
625,Vanderhoof,CA,54.0166,-124.0198,25.99,93,99,3.31,overcast clouds,2022-01-27 02:00:30
626,Tokoroa,NZ,-38.2333,175.8667,77.95,44,0,5.01,clear sky,2022-01-27 02:01:28
627,Tchibanga,GA,-2.85,11.0333,71.38,96,99,1.86,overcast clouds,2022-01-27 02:04:23
628,Ewa Beach,US,21.3156,-158.0072,80.55,53,40,11.01,scattered clouds,2022-01-27 02:04:23
629,Srednekolymsk,RU,67.45,153.6833,-40.27,100,50,3.09,scattered clouds,2022-01-27 02:04:24
630,Kapoeta,SS,4.7717,33.5903,78.87,29,57,11.05,broken clouds,2022-01-27 02:04:24
631,Vilyuysk,RU,63.7553,121.6247,-15.5,100,93,3.94,overcast clouds,2022-01-27 02:04:25
632,Vynohradove,UA,46.3696,32.9398,19.99,95,53,8.05,broken clouds,2022-01-27 02:04:25
633,Keuruu,FI,62.2667,24.7,30.38,91,99,6.98,overcast clouds,2022-01-27 02:04:26
634,Fayaoue,NC,-20.65,166.5333,81.55,78,15,12.88,few clouds,2022-01-27 02:04:26
635,Vardo,NO,70.3705,31.1107,25.97,72,100,14.54,overcast clouds,2022-01-27 02:04:27
636,Paso De Carrasco,UY,-34.8603,-56.0522,67.24,64,99,22.17,overcast clouds,2022-01-27 02:01:26
637,Kaseda,JP,31.4167,130.3167,51.26,71,100,5.99,overcast clouds,2022-01-27 02:04:27
638,Shirokiy,RU,49.758,129.523,-5.64,92,47,6.04,scattered clouds,2022-01-27 02:04:27
639,Kloulklubed,PW,7.0419,134.2556,82.4,81,100,17.56,overcast clouds,2022-01-27 02:01:58
640,Tarko-Sale,RU,64.9225,77.785,-2.7,97,100,13.13,overcast clouds,2022-01-27 02:04:28
641,Uruacu,BR,-14.5247,-49.1408,69.01,96,100,4.7,light rain,2022-01-27 02:04:28
642,Ndioum,SN,16.5129,-14.6471,73.09,19,100,9.55,overcast clouds,2022-01-27 02:04:29
643,Niort,FR,46.3333,-0.3333,28.29,96,0,1.99,clear sky,2022-01-27 02:04:29
644,San Juan,AR,-31.5375,-68.5364,77.11,59,87,20.15,overcast clouds,2022-01-27 02:05:29
645,Juneau,US,58.3019,-134.4197,37.22,98,100,3.44,overcast clouds,2022-01-27 02:04:24
646,Eitorf,DE,50.7667,7.45,38.93,94,94,5.06,overcast clouds,2022-01-27 02:05:30
647,Tulagi,SB,-9.0996,160.1476,81.41,74,100,13.49,overcast clouds,2022-01-27 02:05:30
648,Price,US,39.5994,-110.8107,31.12,68,0,3.44,clear sky,2022-01-27 02:05:31
649,Pirayu,PY,-25.4833,-57.2333,78.48,65,27,11.5,moderate rain,2022-01-27 02:05:31
650,Jutai,BR,-5.1833,-68.9,73.18,97,100,1.3,overcast clouds,2022-01-27 02:05:32
651,Klaksvik,FO,62.2266,-6.589,36.52,77,100,31.21,overcast clouds,2022-01-27 02:05:32
652,Baia,RO,47.4167,26.2167,30.56,84,100,4.74,overcast clouds,2022-01-27 02:05:32
653,Turayf,SA,31.6725,38.6637,35.96,83,96,23.85,overcast clouds,2022-01-27 02:05:33
654,Zeya,RU,53.75,127.2667,-0.63,69,39,1.54,scattered clouds,2022-01-27 02:05:33
655,Mosquera,CO,4.7059,-74.2302,55.65,90,100,1.03,overcast clouds,2022-01-27 02:00:44
656,San Lorenzo,PY,-25.3333,-57.5333,77.94,89,100,10.36,overcast clouds,2022-01-27 02:05:34
657,Sola,VU,-13.8833,167.55,82.56,78,100,14.99,overcast clouds,2022-01-27 02:05:34
658,Ludza,LV,56.55,27.7167,25.68,94,100,9.37,light snow,2022-01-27 02:05:35
659,Novo Aripuana,BR,-5.1206,-60.3797,71.71,99,100,2.15,overcast clouds,2022-01-27 02:05:35
660,Khandyga,RU,62.6667,135.6,-35.54,97,58,0.94,broken clouds,2022-01-27 02:05:35
661,Mizdah,LY,31.4451,12.9801,39.36,75,9,1.9,clear sky,2022-01-27 02:05:36
662,Namatanai,PG,-3.6667,152.4333,85.82,68,55,4.45,light rain,2022-01-27 02:05:36
663,Vao,NC,-22.6667,167.4833,78.33,83,91,16.84,overcast clouds,2022-01-27 02:05:24
664,Minsk,BY,53.9,27.5667,24.55,97,100,10.89,light snow,2022-01-27 02:05:37
665,Urucara,BR,-2.5364,-57.76,73.27,99,100,3.29,overcast clouds,2022-01-27 02:05:37
666,Wurzen,DE,51.3667,12.7333,37.65,82,100,15.61,overcast clouds,2022-01-27 02:05:38
667,Chardara,KZ,41.2547,67.9692,36.77,45,0,8.12,clear sky,2022-01-27 02:05:38
668,Prince Rupert,CA,54.3161,-130.3201,36.5,83,100,2.75,overcast clouds,2022-01-27 02:05:38
669,Viedma,AR,-40.8135,-62.9967,61.03,62,0,4.34,clear sky,2022-01-27 02:05:39
670,Bowen,AU,-20.0167,148.2333,76.3,93,100,5.03,light rain,2022-01-27 02:05:39
671,Assiniboia,CA,49.6334,-105.9845,28.17,91,100,16.93,overcast clouds,2022-01-27 02:05:40
672,Elko,US,41.0002,-115.5012,30.22,82,66,2.08,broken clouds,2022-01-27 02:04:46
673,Datong,CN,40.0936,113.2914,16.77,43,3,3.62,clear sky,2022-01-27 02:05:40
674,Plouzane,FR,48.3833,-4.6167,37.58,97,100,9.22,mist,2022-01-27 02:05:41
675,Tessalit,ML,20.1986,1.0114,60.3,24,86,14.32,overcast clouds,2022-01-27 02:02:11
676,Elmira,US,42.0898,-76.8077,6.89,90,81,2.19,broken clouds,2022-01-27 02:01:59
677,Verkhnedneprovskiy,RU,54.9813,33.3457,7.72,97,100,5.3,light snow,2022-01-27 02:05:41
678,Dangriga,BZ,16.9692,-88.2321,78.98,86,3,7.25,clear sky,2022-01-27 02:05:42
679,Limot,PH,7.0405,126.2727,82.42,74,38,4.88,scattered clouds,2022-01-27 02:05:42
680,Mitsamiouli,KM,-11.3847,43.2844,79.81,75,96,5.44,overcast clouds,2022-01-27 02:05:43
681,Greystones,IE,53.1408,-6.0631,52.23,91,100,13.98,overcast clouds,2022-01-27 02:05:43
682,Mabama,TZ,-5.1333,32.5333,64.11,96,100,3.94,light rain,2022-01-27 02:05:43
683,Bardiyah,LY,31.7561,25.0865,50.25,69,100,11.88,overcast clouds,2022-01-27 02:05:44
684,Mayo,US,38.8876,-76.5119,27.95,52,0,7.0,clear sky,2022-01-27 02:05:44
685,Mizan Teferi,ET,6.9833,35.5833,63.9,51,13,2.73,few clouds,2022-01-27 02:05:44
686,Burnie,AU,-41.0667,145.9167,66.94,97,100,11.99,light rain,2022-01-27 02:05:45
687,Martapura,ID,-3.4167,114.85,86.09,74,20,10.36,few clouds,2022-01-27 02:05:45
688,Lamu,KE,-2.2717,40.902,77.22,81,3,11.12,clear sky,2022-01-27 02:05:46
689,Biak,ID,-0.9131,122.8766,82.56,71,99,0.4,overcast clouds,2022-01-27 02:05:47
